County,Year,Adoptive Home,Agency Operated Boarding Home, Approved Relative Home, Foster Boarding Home, Group Home, Group Residence,Institution, Supervised Independent Living,Other,Total Days In Care,Admissions,Discharges,Children In Care,Number of Children Served,Indicated CPS Reports
ALBANY,1994,365,14510,2966,127644,11274,2988,41276,365,3120,204508,307,309,548,837,851
ALLEGANY,1994,0,2076,0,21230,1740,0,4046,0,250,29342,26,34,71,106,135
BROOME,1994,1742,0,11033,112465,12080,2008,27296,0,3994,170618,200,247,448,671,444
CATTARAUGUS,1994,3844,1155,0,35059,2512,45,12285,0,903,55803,90,118,137,243,239
CAYUGA,1994,0,894,0,17306,473,0,11597,0,1293,31563,64,41,99,139,111
CHAUTAUQUA,1994,456,1169,4462,47712,0,45,8129,0,0,61973,96,105,156,268,572
CHEMUNG,1994,0,102,207,78576,10356,297,11603,0,3675,104816,148,139,263,451,466
CHENANGO,1994,0,0,0,10234,3006,578,1303,0,519,15640,49,44,38,83,190
CLINTON,1994,3865,0,0,31619,2488,185,5607,0,1460,45224,35,34,120,154,390
COLUMBIA,1994,0,243,26,15533,152,365,9866,0,57,26242,44,39,71,105,130
CORTLAND,1994,0,0,949,29127,0,0,1231,0,40,31347,57,64,79,149,318
DELAWARE,1994,0,0,0,15213,0,0,1011,0,1156,17380,26,29,47,77,142
DUTCHESS,1994,432,5645,5052,51778,7921,806,25400,0,1027,98061,155,203,263,437,621
ERIE,1994,52306,10437,195827,483125,13429,2977,84415,2811,3324,848651,916,765,2405,3166,2086
ESSEX,1994,0,0,1085,6017,125,152,954,0,0,8333,21,29,19,48,92
FRANKLIN,1994,0,1212,100,22266,365,0,229,0,0,24172,53,47,64,111,80
FULTON,1994,0,572,0,16857,2229,99,5765,0,823,26345,35,47,73,113,200
GENESEE,1994,0,0,72,15852,534,0,1786,0,658,18902,43,23,61,87,184
GREENE,1994,0,362,956,14407,441,120,7868,0,411,24565,34,33,62,94,98
HAMILTON,1994,0,0,0,0,4,0,0,0,0,4,1,0,1,1,5
HERKIMER,1994,0,121,485,26367,0,0,3357,0,0,30330,65,63,82,140,177
JEFFERSON,1994,0,510,4402,44688,819,0,22826,0,652,73897,116,142,192,322,390
LEWIS,1994,0,0,733,10592,508,0,2015,0,36,13884,39,26,41,65,56
LIVINGSTON,1994,0,365,848,13665,670,0,4327,75,0,19950,46,35,63,92,120
MADISON,1994,0,495,2025,22065,3978,0,8093,158,0,36814,61,49,114,158,203
MONROE,1994,0,3184,9334,310473,24018,2842,78566,4657,6392,439466,685,712,1163,1854,1100
MONTGOMERY,1994,0,1051,916,20629,3949,186,6157,0,1806,34694,48,52,91,149,172
NASSAU,1994,0,170,57946,175514,11395,157,18492,0,730,264404,194,323,658,969,1043
NEW YORK CITY,1994,2810,123288,7511293,7587896,544807,175699,820114,15743,126494,16908144,10437,12779,44859,58143,14360
NIAGARA,1994,6100,6358,7828,84091,4374,2443,27441,91,1556,140282,152,180,375,568,541
ONEIDA,1994,0,3502,19729,124997,9453,0,42326,0,1455,201462,244,212,572,771,696
ONONDAGA,1994,2128,8918,10643,251440,3568,413,52156,872,4751,334889,429,461,885,1342,1106
ONTARIO,1994,0,0,934,29198,1277,441,2117,0,749,34716,42,44,87,134,204
ORANGE,1994,9570,1977,9926,93781,7644,4063,41818,129,1584,170492,229,251,475,713,524
ORLEANS,1994,600,0,1004,12382,0,0,2194,0,16,16196,43,32,50,78,102
OSWEGO,1994,0,2583,2156,52420,1341,646,22485,191,1626,83448,122,123,226,340,461
OTSEGO,1994,0,0,1085,31640,406,0,6746,0,149,40026,51,35,117,157,160
PUTNAM,1994,0,0,0,3620,365,0,3828,0,791,8604,13,8,27,36,61
RENSSELAER,1994,1429,3926,207,44087,8013,3886,33668,0,29,95245,171,163,254,409,208
ROCKLAND,1994,0,0,18167,53817,15061,6468,19961,0,1093,114567,147,197,292,471,203
SARATOGA,1994,0,2095,0,23087,9755,532,10777,5,468,46719,77,86,117,204,208
SCHENECTADY,1994,347,5403,9816,101102,8850,145,37464,150,6375,169652,198,227,443,649,338
SCHOHARIE,1994,0,0,0,9576,651,0,1723,0,126,12076,21,33,28,57,94
SCHUYLER,1994,0,0,365,2950,2362,0,1355,0,501,7533,12,9,23,32,41
SENECA,1994,0,20,0,5949,19,0,8492,0,301,14781,15,25,38,59,123
ST. LAWRENCE,1994,0,4108,4687,34239,0,0,1960,0,355,45349,71,72,130,193,239
ST. REGIS MOHAWK,1994,0,0,0,623,0,0,0,0,0,623,0,0,0,3,
STEUBEN,1994,2191,0,0,24665,1804,2970,5096,0,111,36837,66,51,107,157,260
SUFFOLK,1994,5189,1475,16045,229607,18832,93,21704,0,11500,304445,440,430,840,1247,2841
SULLIVAN,1994,0,6,5338,43886,856,363,5572,0,658,56679,95,124,135,258,213
TIOGA,1994,0,0,28,10382,2971,0,1498,188,848,15915,41,48,41,85,250
TOMPKINS,1994,0,0,4879,43100,3228,398,3436,0,386,55427,81,79,148,230,212
ULSTER,1994,0,2112,21895,55697,4912,39,23453,0,1178,109286,108,180,257,425,328
WARREN,1994,0,151,0,13932,1106,0,4683,0,402,20274,54,44,66,103,196
WASHINGTON,1994,0,0,0,20086,2459,13,2229,0,365,25152,45,53,63,111,123
WAYNE,1994,236,928,0,13383,927,0,4944,0,0,20418,29,37,55,92,202
WESTCHESTER,1994,0,5521,22028,166495,28898,10279,102454,394,9356,345425,347,434,893,1331,1135
WYOMING,1994,0,0,0,13113,1240,0,1101,0,140,15594,37,35,42,76,84
YATES,1994,0,0,0,10192,580,0,307,0,365,11444,13,6,37,44,57
