iyear,ingroup,ingroup2,ingroup3,nperps,nperpcap,nkill,nkillter,nwound,nwoundte,propextent,propvalue
1970,4293,,,-99,-99,0,0,0,0,3,
1970,-9,,,-99,-99,0,0,0,0,3,
1970,638,,,-99,-99,0,0,1,0,3,4000
1970,329,,,-99,-99,0,0,0,0,3,
1970,-9,,,-99,-99,0,0,0,0,3,
1970,638,,,-99,-99,0,0,0,0,,
1970,638,,,-99,-99,1,0,0,0,,
1970,453,,,-99,-99,0,0,0,0,,
1970,3959,,,-99,-99,0,0,0,0,3,
1970,3959,,,-99,-99,0,0,1,0,3,
1970,4659,,,1,1,0,0,0,0,3,
1970,4659,,,1,1,0,0,0,0,,
1970,4659,,,1,0,0,0,17,0,3,
1970,612,,,-99,-99,0,0,0,0,3,
1970,-9,,,,,1,,0,,,
1970,4517,,,5,,0,,0,,,
1970,3616,,,,,0,,0,,,
1970,-9,,,-99,-99,0,0,0,0,3,
1970,638,,,-99,0,0,0,0,0,3,
1970,2373,,,-99,-99,0,0,0,0,3,
1970,2373,,,-99,-99,0,0,0,0,3,5000
1970,3966,,,4,,0,,0,,,
1970,838,,,,,0,,0,,,
1970,453,,,-99,-99,0,0,0,0,3,105000
1970,453,,,1,1,0,0,0,0,4,
1970,2324,,,,,1,,0,,,
1970,3020,,,,,0,0,0,0,,
1970,453,,,-99,-99,0,0,0,0,,
1970,1110,,,-99,-99,0,0,0,0,3,
1970,1897,,,,,0,,0,,,
1970,1110,,,-99,-99,0,0,0,0,3,500
1970,638,,,-99,0,0,0,0,0,3,100000
1970,1110,,,-99,-99,0,0,0,0,3,
1970,520,,,,,2,,0,,,
1970,453,,,-99,-99,0,0,0,0,,
1970,5175,,,,,1,,,,,
1970,453,,,-99,-99,0,0,0,0,,
1970,453,,,-99,-99,0,0,0,0,,
1970,1110,,,-99,0,0,0,0,0,3,700000
1970,3557,,,,,0,,1,,,
1970,3616,,,,,,,,,3,15000
1970,612,,,-99,-99,0,0,0,0,3,
1970,612,,,-99,-99,0,0,0,0,3,
1970,-9,,,-99,-99,0,0,0,0,,
1970,1110,,,-99,-99,0,0,0,0,3,50000
1970,-9,,,-99,-99,0,0,0,0,3,
1970,612,,,-99,-99,0,0,0,0,3,
1970,329,,,-99,-99,0,0,0,0,3,100000
1970,-9,,,-99,-99,0,0,0,0,3,30000
1970,453,,,-99,-99,0,0,0,0,3,
1970,1110,,,2,-99,0,0,0,0,3,
1970,-9,,,-99,-99,0,0,5,0,3,250000
1970,521,,,,,0,,0,,3,25000
1970,-9,,,-99,-99,0,0,0,0,3,
1970,-9,,,-99,-99,0,0,0,0,3,
1970,-9,,,-99,-99,0,0,0,0,3,
1970,612,,,-99,-99,0,0,0,0,3,
1970,1110,,,-99,-99,0,0,0,0,,
1970,-9,,,-99,-99,0,0,0,0,,
1970,838,,,,,0,,0,,3,100000
1970,10015,,,4,-99,0,0,0,0,3,
1970,329,,,-99,-99,0,0,0,0,3,75000
1970,329,,,-99,-99,0,0,0,0,3,20000
1970,-9,,,-99,-99,0,0,0,0,3,
1970,-9,,,-99,-99,0,0,0,0,3,
1970,-9,,,-99,-99,0,0,0,0,3,
1970,612,,,-99,-99,0,0,0,0,3,
1970,4659,,,-99,2,0,0,2,0,3,
1970,638,,,-99,-99,0,0,0,0,3,2000
1970,638,,,-99,-99,0,0,0,0,3,4000
